Age (in years),CAO Points (100 to 600),"Daily travel to DCU (in km, 0 if on-campus)",Average year 1 exam result (as %),Seat row in class,Gender,Number of older siblings,Number of younger siblings,Old Dublin postcode (0 if outside Dublin),Height (in cm),Weight (in kg),Eye colour,Hair colour,Last 4 digits of your mobile (0000 to 9999),Star sign,Shoe size,Your rating for EXTRAVERSION (vs. introversion),Your rating for INTUITION (vs. observation),Your rating for THINKING (vs. feeling),Your rating for JUDGING (vs. prospecting),Your rating for ASSERTIVE (vs. turbulent)
22.0,505.0,10.021347789742679,68.0,7.0,Female,0,1,0,155.0,55.0,Blue,Brown,7181,Leo,4.0,32,62,23,35,31
19.0,543.0,10.0,71.0,5.014425080941386,Male,0,1,13,187.0,76.0,Blue,Red,838,Taurus,9.0,48,41,57,49,36
21.0,557.0,15.0,50.5,10.0,Male,2,0,15,178.0,68.0,Green,Brown,4397,Aries,7.0,74,48,43,29,63
21.0,557.0,15.0,50.5,10.0,Male,2,0,15,178.0,68.0,Green,Brown,4397,Aries,7.0,65,70,70,65,60
22.0,397.0,5.0,65.0,5.0,Female,2,0,0,153.0,55.0,Brown,Brown,8626,Sagittarius,5.0,25,55,43,61,44
25.0,532.0,20.0,72.0,8.0,Male,1,1,22,192.0,90.0,Green,Brown,4768,Aquarius,12.0,56,68,27,47,49
21.0,425.0,5.0,65.0,5.0,Female,1,1,0,175.0,63.0,Blue,Blonde,3173,Scorpio,6.5,24,42,29,64,30
20.0,521.0,1.0,65.0,9.0,Male,2,0,9,193.0,90.0,Blue,Black,4250,Leo,13.0,38,63,59,54,51
21.0,512.0,2.0,67.0,8.0,Female,1,0,0,178.0,64.0,Blue,Blonde,8510,Virgo,5.0,34,40,55,83,22
23.0,357.0,3.0,42.0,5.0,Male,2,0,0,187.0,75.0,Blue,Brown,904,Aquarius,11.0,56,73,53,47,37
21.0,400.0,3.5,48.0,5.0,Male,1,0,0,180.0,75.0,Brown,Brown,2803,Aries,10.0,74,42,36,68,18
20.0,450.0,0.0,95.0,12.0,Male,0,1,2,195.0,98.0,Green,Brown,8995,Gemini,11.0,61,29,66,72,75
20.0,578.0,78.0,72.0,4.0,Male,3,0,0,180.0,63.0,Green,Brown,2666,Capricorn,8.5,52,69,49,67,42
19.0,498.0,4.0,72.0,10.0,Female,1,1,11,165.0,60.0,Brown,Black,2288,Virgo,6.0,42,72,62,61,31
20.0,521.0,0.5,68.0,7.0,Female,1,0,0,165.0,60.0,Green,Brown,6413,Capricorn,6.0,64,43,30,72,44
28.0,366.0,20.0,72.0,8.0,Prefer not to say,4,0,18,197.0,104.0,Blue,Brown,8798,Aries,10.0,22,48,59,75,56
21.0,504.0,1.0,76.0,2.0,Male,1,1,0,175.0,82.0,Blue,Black,1278,Leo,9.0,73,66,33,33,22
20.0,500.0,3.0,71.0,2.0,Female,2,0,1,172.0,63.0,Green,Brown,7305,Taurus,5.0,52,49,40,88,56
20.0,521.0,5.0,68.0,4.0,Male,1,0,9,178.0,77.0,Blue,Red,2785,Libra,9.0,6,7,7,7,6
